Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Engine,Seats,Price
Mahindra Scorpio 2.6 LX,2008,176000,Diesel,Manual,2179 CC,8,18490
Hyundai i20 1.2 Magna,2010,18000,Petrol,Manual,1197 CC,5,9675
Hyundai Verna 1.6 SX,2014,63003,Diesel,Manual,1582 CC,5,29025
Mahindra XUV500 W6 2WD,2014,80000,Diesel,Manual,2179 CC,7,40420
Volkswagen Vento 1.5 TDI Comfortline,2014,56658,Diesel,Manual,1498 CC,5,23177
Maruti Swift Dzire VDI Optional,2019,18592,Diesel,Manual,1248 CC,5,36593
Tata Manza Aura Safire BS IV,2010,75695,Petrol,Manual,1368 CC,5,7955
Maruti Swift VDI,2012,82000,Diesel,Manual,1248 CC,5,10750
Volkswagen Polo Diesel Highline 1.2L,2013,60000,Diesel,Manual,1199 CC,5,20425
Honda City 1.5 V MT,2009,138000,Petrol,Manual,1497 CC,5,15050
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),2014,67000,Diesel,Manual,1396 CC,5,23650
Honda City 1.5 V MT,2012,42750,Petrol,Manual,1497 CC,5,27219
Chevrolet Beat Diesel,2014,52398,Diesel,Manual,936 CC,5,10621
Chevrolet Spark 1.0 LS,2014,36657,Petrol,Manual,995 CC,5,14190
Tata New Safari DICOR 2.2 EX 4x2,2011,77000,Diesel,Manual,2179 CC,7,15050
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2014,85000,Diesel,Automatic,2987 CC,7,166625
BMW 5 Series 2003-2012 530d Highline,2008,112500,Diesel,Automatic,2993 CC,5,34357
Toyota Fortuner 2.8 4WD MT,2013,105072,Diesel,Manual,2755 CC,7,57104
BMW X1 sDrive 18i,2012,80000,Petrol,Automatic,1995 CC,5,40850
Renault Captur 1.5 Diesel Platine Mono,2019,3102,Diesel,Manual,1461 CC,5,60243
Hyundai Xcent 1.1 CRDi S,2016,14656,Diesel,Manual,1120 CC,5,30057
BMW 3 Series 320d,2010,105000,Diesel,Automatic,1995 CC,5,47300
BMW 5 Series 2010-2013 525i,2008,61000,Petrol,Automatic,2497 CC,5,47300
Nissan Micra XE,2010,85046,Petrol,Manual,1198 CC,5,9890
Jaguar XF 2.2 Litre Luxury,2014,48000,Diesel,Automatic,2179 CC,5,113950
Land Rover Range Rover TDV8 (Diesel),2011,55000,Diesel,Automatic,4367 CC,7,288100
Jeep Compass 1.4 Limited Option,2017,4000,Petrol,Automatic,1368 CC,5,76325
Honda CR-V 2.4 AT,2010,94000,Petrol,Automatic,2354 CC,5,20640
Maruti Swift VXI,2013,61110,Petrol,Manual,1197 CC,5,19651
Hyundai Xcent 1.1 CRDi S,2016,80000,Diesel,Manual,1120 CC,5,15050
Nissan Terrano XV Premium 110 PS,2015,43190,Diesel,Manual,1461 CC,5,32723
Audi A4 35 TDI Technology,2015,45000,Diesel,Automatic,1968 CC,5,107500
Hyundai Grand i10 Asta Option,2016,44178,Petrol,Manual,1197 CC,5,25284
Toyota Innova 2.5 G (Diesel) 8 Seater,2015,84415,Diesel,Manual,2494 CC,8,58050
Hyundai i20 1.2 Magna,2015,35000,Petrol,Manual,1197 CC,5,19780
Ford EcoSport 1.5 TDCi Titanium,2013,44000,Diesel,Manual,1498 CC,5,21070
Honda City 1.5 S MT,2012,67635,Petrol,Manual,1497 CC,5,22575
Ford EcoSport 1.5 Petrol Titanium Plus AT,2018,18385,Petrol,Automatic,1497 CC,5,53363
Volkswagen Polo Diesel Highline 1.2L,2014,35000,Diesel,Manual,1199 CC,5,16340
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2010,49000,Diesel,Automatic,2143 CC,5,38485
Ford Ecosport 1.5 DV5 MT Titanium,2013,69000,Diesel,Manual,1498 CC,5,30960
Tata Indigo GLE,2017,23228,Petrol,Manual,1396 CC,5,19350
Maruti Swift Dzire LDI,2014,68462,Diesel,Manual,1248 CC,5,17845
Maruti S-Cross Zeta DDiS 200 SH,2016,74611,Diesel,Manual,1248 CC,5,34142
Renault Duster 110PS Diesel RxZ Pack,2014,90000,Diesel,Manual,1461 CC,5,31175
Maruti Wagon R VXI,2016,22000,Petrol,Manual,998 CC,5,15910
Hyundai Santro Xing GL,2010,58163,Petrol,Manual,1086 CC,5,10535
Chevrolet Beat Diesel LT,2011,109500,Diesel,Manual,936 CC,5,6450
Mahindra XUV500 W4 1.99 mHawk,2017,13363,Diesel,Manual,1997 CC,7,51600
Hyundai i10 Era 1.1,2012,51000,Petrol,Manual,1086 CC,5,9460
Tata New Safari DICOR 2.2 EX 4x4,2007,103000,Diesel,Manual,2179 CC,7,15480
Hyundai i10 Sportz,2009,43002,Petrol,Manual,1197 CC,5,8256
Toyota Innova Crysta 2.8 ZX AT,2016,108000,Diesel,Automatic,2755 CC,7,88150
Skoda Laura Elegance MT,2010,82407,Diesel,Manual,1896 CC,5,18275
Hyundai Grand i10 Sportz,2013,29000,Petrol,Manual,1197 CC,5,13760
Toyota Etios Liva GD,2012,225000,Diesel,Manual,1364 CC,5,11180
Maruti Swift Dzire VDI,2014,45000,Diesel,Manual,1248 CC,5,16555
Hyundai i20 Asta 1.4 CRDi (Diesel),2010,93401,Diesel,Manual,1396 CC,5,14964
Ford Figo 2015-2019 1.5D Trend MT,2017,95802,Diesel,Manual,1498 CC,5,19565
Maruti Ertiga VDI,2016,130000,Diesel,Manual,1248 CC,7,30100
Maruti Ertiga ZDI,2013,67443,Diesel,Manual,1248 CC,7,24725
Honda City 1.5 V AT Sunroof,2016,47681,Petrol,Automatic,1497 CC,5,37539
Maruti Alto LXi BSIII,2009,35000,Petrol,Manual,796 CC,5,7310
Ford Endeavour 3.2 Titanium AT 4X4,2016,68000,Diesel,Automatic,3198 CC,7,126850
Maruti Vitara Brezza ZDi Plus,2019,34688,Diesel,Manual,1248 CC,5,45107
Porsche Boxster S tiptronic,2015,10512,Petrol,Automatic,2706 CC,2,275200
Maruti Swift ZDi,2016,58000,Diesel,Manual,1248 CC,5,32465
Tata Zest Revotron 1.2 XT,2014,40000,Petrol,Manual,1193 CC,5,16985
Hyundai i20 1.2 Sportz Option,2010,61000,Petrol,Manual,1197 CC,5,13975
Skoda Fabia 1.4 TDI Active,2009,86000,Diesel,Manual,1422 CC,5,11825
Toyota Corolla Altis D-4D J,2015,45000,Diesel,Manual,1364 CC,5,31605
Volkswagen Ameo 1.2 MPI Comfortline,2017,55000,Petrol,Manual,1198 CC,5,20210
Hyundai Creta 1.6 VTVT S,2016,36855,Petrol,Manual,1591 CC,5,37711
Hyundai i10 Magna 1.2,2013,46821,Petrol,Manual,1197 CC,5,14706
Chevrolet Beat LS,2015,120000,Petrol,Manual,1199 CC,5,10750
Jaguar XF 3.0 Litre S Premium Luxury,2012,29000,Diesel,Automatic,2993 CC,5,86000
Nissan Terrano XL,2014,40000,Petrol,Manual,1598 CC,5,22575
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,2013,60000,Diesel,Automatic,1968 CC,5,62350
Hyundai i10 Asta AT,2011,64984,Petrol,Automatic,1197 CC,5,14835
Maruti Alto K10 VXI AGS,2015,73204,Petrol,Automatic,998 CC,5,14190
Audi Q7 4.2 TDI Quattro Technology,2014,50000,Diesel,Automatic,4134 CC,7,219300
Maruti Vitara Brezza VDi,2017,35000,Diesel,Manual,1248 CC,5,27950
Hyundai EON D Lite Plus,2013,17729,Petrol,Manual,814 CC,5,15695
Mahindra XUV300 W8 Diesel,2012,97000,Diesel,Manual,1497 CC,5,31175
Hyundai Verna CRDi 1.6 SX Option,2014,89614,Diesel,Manual,1582 CC,5,25843
Maruti Wagon R VXI,2015,14000,Petrol,Manual,998 CC,5,12040
Hyundai i20 Sportz Option,2012,50000,Petrol,Manual,1197 CC,5,17200
Honda City i VTEC V,2014,62505,Petrol,Manual,1497 CC,5,25585
Toyota Innova 2.5 V Diesel 7-seater,2011,248000,Diesel,Manual,2494 CC,7,39560
Hyundai Verna CRDi SX,2012,94900,Diesel,Manual,1493 CC,5,23005
Tata Hexa XT,2017,55000,Diesel,Manual,2179 CC,7,51600
Audi Q7 3.0 TDI Quattro Premium Plus,2015,53735,Diesel,Automatic,2967 CC,7,167442
Maruti Wagon R VXI,2008,53934,Petrol,Manual,998 CC,5,11567
BMW 5 Series 2013-2017 525d Luxury Line,2013,58500,Diesel,Automatic,1995 CC,5,118250
Honda Amaze EX i-Vtech,2014,48000,Petrol,Manual,1198 CC,5,11825
Maruti Alto 800 2016-2019 LXI,2016,24000,Petrol,Manual,796 CC,5,12040
Hyundai Verna 1.6 SX VTVT,2016,52001,Petrol,Manual,1591 CC,5,27735
Tata Tiago 1.2 Revotron XZ,2018,9565,Petrol,Manual,1199 CC,5,25284
Maruti Swift LXI,2013,32953,Petrol,Manual,1197 CC,5,19995
Hyundai EON Era,2014,18000,Petrol,Manual,814 CC,5,10750
Mercedes-Benz E-Class E 220 d,2018,20446,Petrol,Automatic,1950 CC,5,220805
Hyundai i20 Magna 1.4 CRDi,2016,33016,Diesel,Manual,1396 CC,5,29455
Toyota Etios VD,2012,48000,Diesel,Manual,1364 CC,5,22575
Toyota Corolla Altis Diesel D4DG,2014,72022,Diesel,Manual,1364 CC,5,39689
Mini Cooper 5 DOOR D,2014,34000,Diesel,Automatic,1496 CC,5,94600
Volkswagen Polo 1.5 TDI Highline,2014,69000,Diesel,Manual,1498 CC,5,22317
Skoda Superb Elegance 1.8 TSI AT,2009,108000,Petrol,Automatic,1798 CC,5,18705
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,2013,34700,Diesel,Automatic,2148 CC,5,105350
Maruti Swift VDi BSIII W/ ABS,2015,79000,Diesel,Manual,1248 CC,5,24725
Honda City i VTEC CVT VX,2016,58197,Petrol,Automatic,1497 CC,5,39517
BMW 7 Series 2007-2012 740Li,2008,66000,Petrol,Automatic,2979 CC,5,46225
Hyundai i10 Magna AT,2009,60000,Petrol,Automatic,1197 CC,5,12857
Maruti Swift Dzire VDI,2014,57000,Diesel,Manual,1248 CC,5,16727
Honda City i DTec VX,2018,45555,Diesel,Manual,1498 CC,5,50439
Maruti Omni 8 Seater BSIV,2016,55137,Petrol,Manual,796 CC,5,13373
Skoda Superb 2009-2014 Elegance 2.0 TDI MT,2014,93325,Diesel,Manual,1968 CC,5,62135
Maruti Ertiga SHVS VDI,2018,38000,Diesel,Manual,1248 CC,7,37410
Hyundai Grand i10 CRDi Magna,2016,57738,Diesel,Manual,1120 CC,5,21672
Maruti Ciaz VDi Plus SHVS,2017,38282,Diesel,Manual,1248 CC,5,36550
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,64000,Diesel,Automatic,2143 CC,5,67295
Fiat Avventura MULTIJET Emotion,2015,32000,Diesel,Manual,1248 CC,5,24295
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,2010,83000,Petrol,Automatic,2497 CC,5,70950
Maruti Zen Estilo LXI Green (CNG),2011,76000,CNG,Manual,998 CC,5,8600
Volkswagen Vento Petrol Highline,2012,67200,Petrol,Manual,1598 CC,5,16770
BMW 3 Series 320d Luxury Line,2013,62655,Diesel,Automatic,1995 CC,5,62350
BMW 5 Series 2013-2017 530d M Sport,2015,16900,Diesel,Automatic,2993 CC,5,189200
Hyundai Grand i10 1.2 Kappa Magna,2017,8471,Petrol,Manual,1197 CC,5,21500
Toyota Innova Crysta 2.8 ZX AT,2016,69000,Diesel,Automatic,2755 CC,7,84925
Renault Duster 110PS Diesel RxZ AMT,2017,30090,Diesel,Automatic,1461 CC,5,49192
Tata Indica Vista Aura 1.3 Quadrajet,2011,120000,Diesel,Manual,1248 CC,5,7525
Maruti Swift VDI BSIV,2013,23000,Diesel,Manual,1248 CC,5,24080
Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,2016,35939,Petrol,Manual,1796 CC,5,130806
Mahindra XUV500 W8 4WD,2013,116694,Diesel,Manual,2179 CC,7,41151
Mahindra Bolero ZLX,2016,40448,Diesel,Manual,2523 CC,7,15050
Maruti Vitara Brezza ZDi,2018,64456,Diesel,Manual,1248 CC,5,44978
Fiat Avventura MULTIJET Emotion,2014,52782,Diesel,Manual,1248 CC,5,20855
Honda Amaze S Petrol,2016,51672,Petrol,Manual,1199 CC,5,24424
Skoda Superb Elegance 1.8 TSI AT,2015,56073,Petrol,Automatic,1798 CC,5,56975
Jaguar XF 3.0 Litre S Premium Luxury,2011,65000,Diesel,Automatic,2993 CC,5,68800
Maruti Wagon R VXI BSIII,2013,79000,Petrol,Manual,998 CC,5,12900
Hyundai Santro Xing XL eRLX Euro III,2007,43206,Petrol,Manual,1086 CC,5,4257
Toyota Corolla Altis VL,2010,70200,Petrol,Automatic,1798 CC,5,21500
Maruti Swift VXi BSIV,2016,42000,Petrol,Manual,1197 CC,5,20425
Volkswagen Polo 1.2 MPI Highline,2014,62000,Petrol,Manual,1198 CC,5,23005
Hyundai Grand i10 1.2 Kappa Asta,2017,20000,Petrol,Manual,1197 CC,5,25714
Maruti SX4 ZDI,2011,80000,Diesel,Manual,1248 CC,5,15050
Hyundai Grand i10 1.2 Kappa Magna,2018,50234,Petrol,Manual,1197 CC,5,20511
Maruti Baleno Delta 1.2,2016,50003,Petrol,Manual,1197 CC,5,23435
Tata Tigor 1.2 Revotron XTA,2018,1000,Petrol,Automatic,1199 CC,5,29455
Maruti Swift Dzire AMT ZDI,2016,54897,Diesel,Automatic,1248 CC,5,31390
Tata Indica GLS BS IV,2007,108995,Petrol,Manual,1193 CC,5,5375
Maruti SX4 S Cross DDiS 320 Zeta,2015,73000,Diesel,Manual,1598 CC,5,35475
Maruti Swift VXI BSIII,2008,65000,Petrol,Manual,1298 CC,5,11653
Hyundai Xcent 1.2 Kappa SX,2016,32000,Petrol,Manual,1197 CC,5,15480
Hyundai i20 1.2 Magna,2010,65000,Petrol,Manual,1197 CC,5,12900
Maruti Celerio VXI AT,2016,21600,Petrol,Automatic,998 CC,5,19995
Mercedes-Benz New C-Class C 220 CDI Elegance AT,2010,39000,Diesel,Automatic,2143 CC,5,40850
Maruti Swift Dzire VXi,2011,58075,Petrol,Manual,1298 CC,5,12685
Volkswagen Vento Petrol Trendline,2011,58000,Petrol,Manual,1598 CC,5,12900
Maruti Swift ZDi,2015,58000,Diesel,Manual,1248 CC,5,25585
Toyota Corolla Altis VL,2008,89000,Petrol,Automatic,1798 CC,5,17200
Honda Civic 2006-2010 1.8 V MT,2008,72000,Petrol,Manual,1799 CC,5,10750
Ford EcoSport 1.5 Ti VCT AT Titanium BE,2017,1800,Petrol,Automatic,1499 CC,5,48891
Fiat Linea Emotion Pack (Diesel),2010,172050,Diesel,Manual,1248 CC,5,9675
Hyundai i10 Era,2013,46230,Petrol,Manual,1086 CC,5,13330
Volvo XC60 D5 Inscription,2014,86925,Diesel,Automatic,2400 CC,5,73874
Hyundai i20 1.2 Asta,2018,5000,Petrol,Manual,1197 CC,5,27950
Honda City i DTEC S,2014,66000,Diesel,Manual,1498 CC,5,24510
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2013,119000,Diesel,Manual,2494 CC,8,34400
Renault KWID RXT,2016,45000,Petrol,Manual,799 CC,5,11180
Maruti A-Star Vxi,2009,66149,Petrol,Manual,998 CC,5,10535
Mercedes-Benz B Class B180,2014,42070,Petrol,Automatic,1595 CC,5,49751
Maruti Wagon R LXI BS IV,2012,35503,Petrol,Manual,998 CC,5,9890
Maruti Swift VDI BSIV,2016,41460,Diesel,Manual,1248 CC,5,25370
Hyundai Verna VTVT 1.6 AT SX Option,2015,40600,Petrol,Automatic,1591 CC,5,30960
Hyundai Verna CRDi 1.6 AT SX Option,2013,87000,Diesel,Automatic,1582 CC,5,25370
Honda City V MT,2014,30000,Petrol,Manual,1497 CC,5,25800
Hyundai i10 Magna Optional 1.1L,2010,27089,Petrol,Manual,1086 CC,5,8385
Toyota Etios GD SP,2016,53702,Diesel,Manual,1364 CC,5,28165
Volvo S60 D4 Momentum,2015,51000,Diesel,Automatic,1969 CC,5,107500
Ford Figo Diesel EXI,2012,36542,Diesel,Manual,1399 CC,5,11395
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,2017,15000,Diesel,Automatic,2987 CC,5,298850
BMW 3 Series 320d Luxury Line,2012,65000,Diesel,Automatic,1995 CC,5,60200
Maruti Alto 800 VXI,2014,32000,Petrol,Manual,796 CC,5,9030
Toyota Innova Crysta 2.4 VX MT,2017,24393,Diesel,Manual,2393 CC,7,87720
Volkswagen Polo 1.0 MPI Trendline,2019,1000,Petrol,Manual,999 CC,5,24424
Nissan Terrano XL,2014,28238,Petrol,Manual,1598 CC,5,23865
Mitsubishi Pajero Sport 4X4,2013,59000,Diesel,Manual,2477 CC,7,54825
Honda Civic 2010-2013 1.8 S MT,2012,92000,Petrol,Manual,1799 CC,5,14405
Maruti Alto 800 LXI,2013,56840,Petrol,Manual,796 CC,5,6665
Volkswagen Vento Diesel Highline,2013,62746,Diesel,Manual,1598 CC,5,25370
Land Rover Freelander 2 HSE,2012,96000,Diesel,Automatic,2179 CC,5,81614
Honda CR-V 2.0L 2WD MT,2014,24000,Petrol,Manual,1997 CC,5,49493
Maruti Ertiga VDI,2016,54000,Diesel,Manual,1248 CC,7,33325
Toyota Innova 2.5 GX (Diesel) 7 Seater,2016,90000,Diesel,Manual,2494 CC,7,59770
Tata Manza Aura Safire,2010,40000,Petrol,Manual,1368 CC,5,5805
Audi Q7 35 TDI Quattro Premium Plus,2015,65938,Diesel,Automatic,2967 CC,7,163400
Hyundai Verna 1.6 SX VTVT (O) AT,2017,16100,Petrol,Automatic,1591 CC,5,49880
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2017,3600,Diesel,Automatic,1498 CC,5,52675
Honda City 1.5 S MT,2011,52000,Petrol,Manual,1497 CC,5,16340
Ford Figo Diesel Titanium,2014,54000,Diesel,Manual,1399 CC,5,13975
Honda Jazz 1.2 VX i VTEC,2016,15399,Petrol,Manual,1199 CC,5,27520
Volkswagen Polo Petrol Highline 1.2L,2012,75000,Petrol,Manual,1198 CC,5,16985
Honda City i-VTEC S,2010,76752,Petrol,Manual,1497 CC,5,15351
Honda City ZX GXi,2005,56000,Petrol,Manual,1497 CC,5,5375
Maruti Wagon R LXI CNG,2015,70000,CNG,Manual,998 CC,5,15695
Honda CR-V 2.4L 4WD AT AVN,2013,46125,Petrol,Automatic,2354 CC,5,53750
BMW 5 Series 2013-2017 520d Luxury Line,2014,35000,Diesel,Automatic,1995 CC,5,98900
Ambassador Classic Nova Diesel,2003,80000,Diesel,Manual,1489 CC,5,5805
Mahindra Scorpio VLX 2.2 mHawk BSIII,2012,62729,Diesel,Manual,2179 CC,8,27176
Volkswagen Vento Diesel Comfortline,2012,34000,Diesel,Manual,1598 CC,5,14620
Maruti Zen VX,1999,70000,Petrol,Manual,993 CC,5,3311
Maruti 800 DX BSII,2009,32000,Petrol,Manual,796 CC,4,3870
Toyota Corolla Altis 1.8 VL CVT,2017,21000,Petrol,Automatic,1798 CC,5,77400
BMW 3 Series 328i Sport Line,2013,49000,Petrol,Automatic,1997 CC,5,81700
Ford Ikon 1.3 Flair,2007,40000,Petrol,Manual,1299 CC,5,4730
Chevrolet Beat LT,2012,78000,Petrol,Manual,1199 CC,5,8600
Toyota Corolla Altis 1.4 DG,2012,52000,Diesel,Manual,1364 CC,5,27950
Mahindra XUV500 W4,2014,65213,Diesel,Manual,2179 CC,7,40635
Hyundai Xcent 1.1 CRDi Base,2016,170000,Diesel,Manual,1120 CC,5,17200
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2017,36884,Diesel,Automatic,2143 CC,5,138675
Hyundai i10 Sportz,2009,62500,Petrol,Manual,1197 CC,5,9030
Toyota Corolla Altis VL AT,2015,68000,Petrol,Automatic,1798 CC,5,41925
Toyota Corolla 1.8 J,2014,40748,Petrol,Manual,1798 CC,5,27090
Audi Q3 2.0 TDI Quattro,2013,60000,Diesel,Automatic,1968 CC,5,90300
Hyundai i20 Magna Optional 1.4 CRDi,2014,12400,Diesel,Manual,1396 CC,5,19995
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2013,87000,Diesel,Automatic,2143 CC,5,73100
Maruti Ritz VDi,2013,20248,Diesel,Manual,1248 CC,5,18705
Hyundai Creta 1.6 SX Plus Diesel,2017,52383,Diesel,Manual,1582 CC,5,63726
Jaguar XE 2.0L Diesel Prestige,2018,1000,Diesel,Automatic,1999 CC,5,172000
Mahindra Xylo D4,2016,85000,Diesel,Manual,2489 CC,7,26445
Toyota Innova 2.5 G (Diesel) 7 Seater,2014,47000,Diesel,Manual,2494 CC,7,48375
Toyota Camry 2.5 Hybrid,2018,17585,Petrol,Automatic,2494 CC,5,137600
Audi Q5 3.0 TDI Quattro,2018,32496,Diesel,Automatic,2967 CC,5,196166
Maruti Swift VDI,2017,34613,Diesel,Manual,1248 CC,5,26832
Maruti Ertiga VDI Limited Edition,2015,153000,Diesel,Manual,1248 CC,7,20640
Maruti Swift VXi BSIV,2014,54000,Petrol,Manual,1197 CC,5,19350
Hyundai i10 Sportz,2015,16900,Petrol,Manual,1197 CC,5,16641
Hyundai i10 Sportz,2013,62334,Petrol,Manual,1197 CC,5,11825
Maruti Baleno Sigma 1.2,2018,23714,Petrol,Manual,1197 CC,5,28251
Hyundai Accent Executive,2010,52325,Petrol,Manual,1495 CC,5,8600
Honda Brio S MT,2012,50000,Petrol,Manual,1198 CC,5,15695
Maruti Swift ZDi,2016,55746,Diesel,Manual,1248 CC,5,29885
Hyundai Xcent 1.2 VTVT S,2014,54000,Petrol,Manual,1197 CC,5,23650
Mahindra XUV500 W8 2WD,2013,43000,Diesel,Manual,2179 CC,7,30100
Mercedes-Benz E-Class E250 CDI Avantgrade,2014,40000,Diesel,Automatic,2143 CC,5,103200
Land Rover Freelander 2 TD4 S,2010,125000,Diesel,Automatic,2179 CC,5,47300
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2016,51944,Diesel,Automatic,2143 CC,5,139750
Hyundai i20 Asta 1.4 CRDi,2015,46950,Diesel,Manual,1396 CC,5,27735
Skoda Octavia Elegance 2.0 TDI AT,2015,23000,Diesel,Automatic,1968 CC,5,67725
Honda City 1.5 S MT,2014,54546,Petrol,Manual,1497 CC,5,23650
Toyota Fortuner 4x2 AT,2015,51535,Diesel,Automatic,2982 CC,7,81829
Audi Q3 2.0 TDI Quattro,2013,45000,Diesel,Automatic,1968 CC,5,65575
Maruti Alto K10 2010-2014 VXI,2012,46004,Petrol,Manual,998 CC,5,10320
Tata Indigo eCS LX BSIV,2011,124000,Diesel,Manual,1396 CC,5,9890
Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,77395,Diesel,Automatic,1968 CC,5,61705
Maruti Alto 800 2016-2019 CNG LXI,2018,10600,CNG,Manual,796 CC,4,15050
Honda City i-VTEC CVT VX,2018,22974,Petrol,Automatic,1497 CC,5,51471
Hyundai Santro GLS I - Euro II,2009,89000,Petrol,Manual,999 CC,5,6880
Toyota Fortuner 2.8 2WD MT,2015,65012,Diesel,Manual,2755 CC,7,81270
Hyundai Grand i10 Sportz,2017,17125,Petrol,Manual,1197 CC,5,23220
Maruti Eeco 7 Seater Standard,2015,90413,Petrol,Manual,1196 CC,7,12685
Volkswagen Polo Petrol Highline 1.2L,2013,37000,Petrol,Manual,1198 CC,5,21930
Maruti Wagon R LXI Minor,2006,65000,Petrol,Manual,1061 CC,5,6450
Honda City 1.5 V MT,2011,66000,Petrol,Manual,1497 CC,5,21070
Honda Civic 2010-2013 1.8 S MT,2010,86000,Petrol,Manual,1799 CC,5,12470
Honda City 1.5 EXI,2005,98437,Petrol,Manual,1493 CC,5,4945
Hyundai i20 1.2 Magna,2010,18000,Petrol,Manual,1197 CC,5,9890
Hyundai Grand i10 CRDi Sportz Celebration Edition,2018,35070,Diesel,Manual,1120 CC,5,25757
Volkswagen Vento Petrol Highline AT,2011,42000,Petrol,Automatic,1598 CC,5,14620
Hyundai i10 Sportz 1.2,2009,40000,Petrol,Manual,1197 CC,5,7310
Hyundai i20 Asta,2009,43000,Petrol,Manual,1197 CC,5,8557
Chevrolet Beat LS,2012,65000,Petrol,Manual,1199 CC,5,10750
Volkswagen Polo Diesel Highline 1.2L,2013,74000,Diesel,Manual,1199 CC,5,20855
Ford Figo Petrol LXI,2010,51192,Petrol,Manual,1196 CC,5,11395
Audi TT 2.0 TFSI,2014,14262,Petrol,Automatic,1984 CC,2,117605
Honda City i DTEC VX,2015,66339,Diesel,Manual,1498 CC,5,29670
Ford Figo Diesel Titanium,2013,90200,Diesel,Manual,1399 CC,5,15050
Toyota Innova 2.5 ZX Diesel 7 Seater,2015,57854,Diesel,Manual,2494 CC,7,53750
Maruti Ciaz 1.4 AT Alpha,2017,32000,Petrol,Automatic,1373 CC,5,39560
Hyundai Grand i10 AT Asta,2015,29631,Petrol,Automatic,1197 CC,5,21070
Honda City 1.3 DX,2009,55005,Petrol,Manual,,,13760
Ford EcoSport 1.0 Ecoboost Titanium Plus BE,2014,54173,Petrol,Manual,999 CC,5,23865
Skoda Octavia Ambition 1.8 TSI AT,2014,50000,Petrol,Automatic,1798 CC,5,58050
Fiat Linea Emotion (Diesel),2010,145000,Diesel,Manual,1248 CC,5,11180
Maruti Swift Lxi BSIII,2015,78000,Petrol,Manual,1298 CC,5,19350
Land Rover Discovery 4 TDV6 SE,2013,65000,Diesel,Automatic,2993 CC,7,146200
Toyota Innova 2.5 V Diesel 7-seater,2012,120000,Diesel,Manual,2494 CC,7,51600
Maruti Swift LDI,2015,14000,Diesel,Manual,1248 CC,5,22575
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,57456,Diesel,Automatic,1968 CC,5,92708
BMW 5 Series 520d Luxury Line,2012,44450,Diesel,Automatic,1995 CC,5,106124
Hyundai i20 Magna Optional 1.2,2013,63777,Petrol,Manual,1197 CC,5,15781
BMW X1 M Sport sDrive 20d,2016,31000,Diesel,Automatic,1995 CC,5,126850
Toyota Etios G,2012,60000,Petrol,Manual,1496 CC,5,13330
Tata Indigo LX,2015,78008,Diesel,Manual,1405 CC,5,12470
Mercedes-Benz M-Class ML 350 4Matic,2014,33000,Diesel,Automatic,2987 CC,5,184900
Volkswagen Beetle 2.0,2009,27078,Petrol,Automatic,1984 CC,4,68585
Volkswagen Polo GT TDI,2011,57275,Diesel,Manual,1598 CC,5,19350
Hyundai Grand i10 CRDi Magna,2014,45000,Diesel,Manual,1120 CC,5,15007
Maruti Swift VDI BSIV,2014,57319,Diesel,Manual,1248 CC,5,18275
Hyundai Verna CRDi 1.4 E,2008,121097,Diesel,Manual,1396 CC,5,8170
BMW 5 Series 2003-2012 525d,2011,89000,Diesel,Automatic,1995 CC,5,71251
Honda City 1.5 S MT,2012,72000,Petrol,Manual,1497 CC,5,24725
Audi A4 2.0 TDI,2013,36000,Diesel,Automatic,1968 CC,5,60200
Fiat Linea Classic Plus 1.3 Multijet,2013,86000,Diesel,Manual,1248 CC,5,10750
Honda City 1.3 EXI,2002,85000,Petrol,Manual,1343 CC,5,5160
Fiat Petra 1.2 EL,2005,120000,Petrol,Manual,1242 CC,5,3655
BMW 3 Series 320d Luxury Line,2013,37613,Diesel,Automatic,1995 CC,5,59985
Ford Fiesta 1.4 Duratec EXI,2007,100000,Petrol,Manual,1388 CC,5,6880
Tata Nano XTA,2016,5240,Petrol,Automatic,624 CC,4,15480
Maruti Eeco 5 STR With AC Plus HTR CNG,2018,20000,CNG,Manual,1196 CC,5,19350
Maruti Ignis 1.2 Delta,2019,16862,Petrol,Manual,1197 CC,5,26058
Maruti Swift Dzire ZXi,2013,59254,Petrol,Manual,1298 CC,5,22747
Ford Ecosport 1.5 DV5 MT Titanium,2014,60000,Diesel,Manual,1498 CC,5,24725
